iter	Passed	Remaining
0	57	28829
1	115	28743
2	172	28639
3	225	28020
4	276	27366
5	329	27118
6	379	26749
7	445	27426
8	499	27254
9	556	27258
10	617	27454
11	674	27429
12	728	27288
13	778	27041
14	830	26838
15	880	26635
16	932	26481
17	983	26327
18	1034	26197
19	1086	26074
20	1137	25951
21	1188	25824
22	1237	25669
23	1288	25563
24	1340	25477
25	1393	25400
26	1442	25278
27	1492	25166
28	1543	25063
29	1593	24960
30	1642	24856
31	1692	24756
32	1746	24717
33	1798	24654
34	1851	24601
35	1902	24514
36	1955	24468
37	2007	24401
38	2059	24340
39	2113	24306
40	2169	24290
41	2220	24210
42	2271	24141
43	2323	24076
44	2374	24012
45	2425	23941
46	2475	23861
47	2526	23794
48	2579	23744
49	2634	23707
50	2691	23698
51	2748	23679
52	2804	23650
53	2857	23600
54	2907	23521
55	2958	23453
56	3009	23390
57	3060	23322
58	3110	23246
59	3159	23171
60	3210	23104
61	3258	23023
62	3308	22948
63	3359	22883
64	3409	22819
65	3460	22753
66	3512	22699
67	3561	22624
68	3610	22550
69	3659	22478
70	3708	22410
71	3758	22344
72	3809	22283
73	3859	22217
74	3911	22162
75	3960	22097
76	4010	22032
77	4061	21976
78	4112	21918
79	4164	21862
80	4215	21803
81	4265	21741
82	4316	21684
83	4366	21623
84	4417	21569
85	4467	21505
86	4519	21452
87	4573	21410
88	4623	21349
89	4672	21287
90	4721	21222
91	4771	21161
92	4823	21110
93	4873	21050
94	4880	20808
95	4888	20571
96	4938	20517
97	4989	20467
98	4995	20236
99	5003	20012
100	5017	19819
101	5066	19768
102	5074	19557
103	5080	19345
104	5130	19301
105	5139	19103
106	5191	19066
107	5199	18873
108	5235	18780
109	5245	18599
110	5252	18408
111	5261	18225
112	5309	18185
113	5359	18145
114	5409	18109
115	5459	18072
116	5508	18032
117	5559	17997
118	5566	17821
119	5614	17780
120	5666	17747
121	5716	17711
122	5766	17674
123	5774	17509
124	5781	17345
125	5831	17310
126	5881	17275
127	5933	17245
128	5941	17088
129	5955	16951
130	5964	16801
131	5974	16655
132	6023	16622
133	6076	16595
134	6126	16565
135	6179	16538
136	6231	16511
137	6282	16479
138	6338	16463
139	6394	16443
140	6448	16418
141	6505	16400
142	6527	16296
143	6535	16156
144	6586	16125
145	6638	16095
146	6689	16064
147	6740	16032
148	6790	15996
149	6801	15869
150	6851	15836
151	6902	15802
152	6953	15769
153	7004	15737
154	7055	15703
155	7106	15671
156	7117	15549
157	7139	15453
158	7190	15421
159	7202	15304
160	7214	15191
161	7264	15156
162	7272	15035
163	7321	15001
164	7371	14966
165	7422	14934
166	7459	14874
167	7509	14840
168	7519	14728
169	7530	14617
170	7581	14586
171	7592	14479
172	7644	14449
173	7693	14415
174	7745	14385
175	7796	14351
176	7808	14249
177	7845	14191
178	7894	14157
179	7930	14099
180	7940	13995
181	7990	13962
182	8040	13928
183	8055	13833
184	8105	13801
185	8155	13767
186	8205	13734
187	8258	13705
188	8309	13672
189	8360	13640
190	8409	13605
191	8459	13570
192	8510	13536
193	8562	13505
194	8612	13470
195	8624	13377
196	8674	13341
197	8724	13306
198	8774	13271
199	8795	13193
200	8847	13161
201	8898	13127
202	8949	13093
203	8964	13006
204	9014	12972
205	9065	12937
206	9115	12902
207	9165	12867
208	9186	12791
209	9237	12756
210	9274	12702
